,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
80,2,2022-12-31 23:51:30,2022-12-31 23:56:06,1.0,0.86,1.0,N,141,140,1,6.5,1.0,0.5,2.0,0.0,1.0,13.5,2.5,0.0
567,2,2022-12-31 23:59:37,2023-01-01 00:07:28,1.0,2.38,1.0,N,142,151,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0
761,2,2022-12-31 23:58:27,2023-01-01 00:02:21,1.0,0.49,1.0,N,229,237,1,5.8,1.0,0.5,0.08,0.0,1.0,10.88,2.5,0.0
900,2,2022-12-31 23:44:31,2022-12-31 23:48:47,1.0,0.52,1.0,N,233,162,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0
1177,2,2022-12-31 23:59:25,2023-01-01 00:19:21,2.0,3.65,1.0,N,141,68,1,19.1,1.0,0.5,7.23,0.0,1.0,31.33,2.5,0.0
2172,2,2022-12-31 14:24:54,2022-12-31 14:35:25,1.0,0.41,1.0,N,48,163,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2173,2,2022-12-31 14:39:43,2022-12-31 14:43:37,1.0,0.54,1.0,N,163,162,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0
2588,2,2022-12-31 23:58:08,2023-01-01 00:08:28,1.0,2.83,1.0,N,163,75,1,14.2,1.0,0.5,1.92,0.0,1.0,21.12,2.5,0.0
2696,2,2022-12-31 23:58:43,2023-01-01 00:09:39,3.0,2.11,1.0,N,161,234,2,12.8,1.0,0.5,0.0,0.0,1.0,17.8,2.5,0.0
2931,2,2022-12-31 22:02:51,2022-12-31 22:28:31,1.0,7.78,1.0,N,79,238,1,35.9,1.0,0.5,8.18,0.0,1.0,49.08,2.5,0.0
2932,2,2022-12-31 22:34:05,2022-12-31 22:40:07,1.0,0.91,1.0,N,239,142,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
3295,2,2022-12-31 23:58:59,2023-01-01 00:36:24,1.0,22.02,2.0,N,132,48,1,70.0,0.0,0.5,40.0,6.55,1.0,121.8,2.5,1.25
3517,2,2022-12-31 23:54:11,2023-01-01 00:02:30,2.0,0.82,1.0,N,90,107,1,8.6,1.0,0.5,2.04,0.0,1.0,15.64,2.5,0.0
3864,2,2022-12-31 23:59:40,2023-01-01 00:30:00,1.0,6.87,1.0,N,161,261,2,37.3,1.0,0.5,0.0,0.0,1.0,42.3,2.5,0.0
